year,role,country_code,country,value_usd,net_kg,usd_per_kg
2024,exporter,604,Peru,2211931438.124,325684017.0,6.791648722890813
2024,exporter,528,Netherlands,703222545.896,90957868.68,7.731299733616405
2024,exporter,724,Spain,577226285.117,86764419.02,6.652799518935798
2024,exporter,152,Chile,467692119.713,89514708.868,5.224751614873341
2024,exporter,504,Morocco,426822958.471,68469578.77,6.233760542105348
2024,exporter,842,United States,392066286.0,79079499.0,4.957875188359502
2024,exporter,484,Mexico,273795498.0,46650815.0,5.869039972827913
2024,exporter,124,Canada,211374286.592,71746440.0,2.9461292656750637
2024,exporter,616,Poland,205371320.0,30175277.0,6.805946470681943
2024,exporter,710,South Africa,154406989.841,26340117.08,5.862046450744174
2024,exporter,276,Germany,88876581.718,11726588.476,7.579065463062643
2024,exporter,251,France,87266708.111,12565600.429,6.944889629754437
2024,exporter,620,Portugal,52732539.514,7754599.0,6.800163298450378
2024,exporter,56,Belgium,40315399.06,4581969.92,8.798704435842303
2024,exporter,380,Italy,26447436.055,3379505.0,7.8258313140533895
2024,exporter,156,China,23142031.0,2592548.0,8.926365490629296
2024,exporter,32,Argentina,18518611.18,5121181.9,3.616081510402901
2024,exporter,826,United Kingdom,11943697.784,1954352.49,6.1113324464820575
2024,exporter,372,Ireland,2361458.674,189777.0,12.443334408279192
2024,exporter,752,Sweden,1372776.085,330185.585,4.1575893902212595
2024,exporter,392,Japan,78055.679,3103.0,25.154907831131165
2024,importer,842,United States,2428688371.0,349531809.0,6.948404432627761
2024,importer,528,Netherlands,789148932.543,117582070.871,6.711473328351055
2024,importer,276,Germany,588483180.784,82773284.34,7.1095787182582155
2024,importer,826,United Kingdom,520126911.642,72141473.0,7.2098182919275855
2024,importer,124,Canada,401753762.076,81684482.327,4.918360876276304
2024,importer,156,China,354708850.0,38741596.0,9.155762452326435
2024,importer,724,Spain,274442079.324,0.0,
2024,importer,616,Poland,214976454.0,33035422.0,6.5074529394538985
2024,importer,251,France,153083500.567,23141368.075,6.6151447948480895
2024,importer,380,Italy,110321701.987,13887898.0,7.943729280485787
2024,importer,56,Belgium,93520085.984,10737636.017,8.709560077836263
2024,importer,372,Ireland,32042007.494,9508212.0,3.3699298557920248
2024,importer,392,Japan,25026692.205,1895301.0,13.204600327335868
2024,importer,752,Sweden,22571743.261,2845244.39,7.933147444321997
2024,importer,620,Portugal,19951097.797,2779535.0,7.177854496165725
2024,importer,32,Argentina,3003455.91,491434.5,6.11160980761424
2024,importer,152,Chile,2514337.6,449817.036,5.589689582143794
2024,importer,710,South Africa,1898735.748,589191.1,3.222614442071511
2024,importer,484,Mexico,1043269.0,177987.0,5.861489884092658
2024,importer,504,Morocco,200032.585,15873.0,12.602065457065457
